Points_0,Points_1,Points_2,Points_Magnitude,Point ID
-0.880225,-0.934528,2.00599,2.38163,0
-0.86634,-0.952147,2.00494,2.38263,1
-0.869991,-0.952964,2.00081,2.38081,2
-0.879567,-0.935464,2.00569,2.3815,3
-0.878897,-0.936424,2.00533,2.38132,4
-0.864912,-0.950614,2.0066,2.3829,5
-0.869766,-0.953137,2.00025,2.38033,6
-0.86897,-0.95341,2.00021,2.38011,7
-0.864325,-0.954142,2.00315,2.38119,8
-0.863705,-0.952983,2.00544,2.38243,9
-0.885393,-0.880405,1.94687,2.31286,10
-0.87928,-0.878881,1.9476,2.31057,11
-0.879657,-0.878387,1.94749,2.31043,12
-0.880458,-0.877568,1.9473,2.31026,13
-0.880929,-0.87727,1.94723,2.31027,14
-0.881829,-0.876929,1.94712,2.31039,15
-0.882242,-0.876829,1.94708,2.31048,16
-0.883263,-0.876878,1.94704,2.31085,17
-0.884068,-0.877098,1.94704,2.31124,18
-0.884856,-0.877815,1.94714,2.3119,19
-0.885339,-0.878567,1.94724,2.31245,20
-0.885513,-0.87932,1.94735,2.3129,21
-0.88562,-0.880241,1.94754,2.31345,22
-0.885186,-0.88133,1.94775,2.31388,23
-0.884905,-0.881709,1.94783,2.31398,24
-0.884272,-0.882448,1.94799,2.31416,25
-0.88348,-0.883113,1.94815,2.31424,26
-0.883049,-0.883445,1.94823,2.31427,27
-0.8822,-0.883954,1.94837,2.31426,28
-0.881228,-0.884341,1.94849,2.31414,29
-0.878814,-0.882336,1.94896,2.31285,30
-0.878726,-0.88163,1.94883,2.31244,31
-0.878825,-0.880565,1.94864,2.31191,32
-0.879008,-0.879707,1.94848,2.31152,33
-0.879404,-0.878785,1.9483,2.31116,34
-0.879735,-0.878299,1.94818,2.31101,35
-0.88052,-0.877434,1.94799,2.31082,36
-0.881345,-0.876898,1.94785,2.31081,37
-0.882253,-0.876588,1.94775,2.31096,38
-0.883242,-0.876546,1.94769,2.31126,39
-0.884179,-0.876831,1.9477,2.31174,40
-0.884956,-0.877445,1.94778,2.31234,41
-0.885544,-0.878295,1.9479,2.31299,42
-0.885843,-0.87913,1.94804,2.31354,43
